pair_id,carrier_id,family,candidate_null,candidate_active,beta_parameter,beta_total_thread_over_core,thread_coupling_mode,gamma_core,n_threads,helix_turns,campaign_role
PAIR_4739E5E9C8E2,TWIST_4_1,twist,CAND_FFBD2AA406B018A5,CAND_A516395A872060D2,-1.5,-1.5,total_beta,1.0,3,0.5,kelvin_hole_extended
PAIR_3B05CAC70185,TWIST_4_1,twist,CAND_FFBD2AA406B018A5,CAND_06337B2F6F1A9E43,-0.75,-0.75,total_beta,1.0,3,0.5,kelvin_hole_extended
PAIR_EA8B5443214E,TWIST_4_1,twist,CAND_FFBD2AA406B018A5,CAND_CEA5DF00826EB1A9,0.75,0.75,total_beta,1.0,3,0.5,kelvin_hole_extended
PAIR_05A27D7C63E3,TWIST_4_1,twist,CAND_FFBD2AA406B018A5,CAND_250692FC932FE5FD,1.5,1.5,total_beta,1.0,3,0.5,kelvin_hole_extended
PAIR_E9FDC9273597,TWIST_4_1,twist,CAND_30F4C9ACAEE1A87F,CAND_DCD66FF38CFA3186,-1.5,-1.5,total_beta,1.5,3,0.5,kelvin_hole_extended
PAIR_08A186DE2203,TWIST_4_1,twist,CAND_30F4C9ACAEE1A87F,CAND_954769D41385D82B,-0.75,-0.75,total_beta,1.5,3,0.5,kelvin_hole_extended
PAIR_A7D81A0F7FE1,TWIST_4_1,twist,CAND_30F4C9ACAEE1A87F,CAND_D37CDA84DB825DA6,0.75,0.75,total_beta,1.5,3,0.5,kelvin_hole_extended
PAIR_71CF9300D05C,TWIST_4_1,twist,CAND_30F4C9ACAEE1A87F,CAND_DD2D0FCBE951B917,1.5,1.5,total_beta,1.5,3,0.5,kelvin_hole_extended
PAIR_59E118E7F40C,TWIST_4_1,twist,CAND_F684F16D209C61FA,CAND_04CA31F9DCCD7E19,-1.5,-1.5,total_beta,0.75,3,1.0,kelvin_hole_extended
PAIR_98499BA87D33,TWIST_4_1,twist,CAND_F684F16D209C61FA,CAND_EF3F519E2BC14791,-0.75,-0.75,total_beta,0.75,3,1.0,kelvin_hole_extended
PAIR_B71B65F04FC7,TWIST_4_1,twist,CAND_F684F16D209C61FA,CAND_974C6A024F85D96A,0.75,0.75,total_beta,0.75,3,1.0,kelvin_hole_extended
PAIR_E2F5A77D7813,TWIST_4_1,twist,CAND_F684F16D209C61FA,CAND_27BB85A7745F7354,1.5,1.5,total_beta,0.75,3,1.0,kelvin_hole_extended
PAIR_D0B4683DBC65,TWIST_4_1,twist,CAND_12006E959F5BDE26,CAND_D5F621635969FF14,-1.5,-1.5,total_beta,1.0,3,1.0,kelvin_hole_extended
PAIR_8B70FDDE6B89,TWIST_4_1,twist,CAND_12006E959F5BDE26,CAND_83F59315CD9604D8,-0.75,-0.75,total_beta,1.0,3,1.0,kelvin_hole_extended
