low_group,high_group,low_dimension,high_dimension,low_members,high_members,low_omega_hat,high_omega_hat,frequency_rel_error,overlap,minimum_overlap,fingerprint_similarity,low_dominant_m,high_dominant_m,low_circularity_eigs,high_circularity_eigs,circularity_error,low_condition_number_max,high_condition_number_max,low_class,high_class,low_core_status,high_core_status,equilibrium_ready,score,numerically_trackable,physical_interpretation_allowed
0,4,3,3,0;2;4,12;14;16,-1.164592910985898,-1.2165193699244445,0.042684448946975394,0.46161574334445543,0.346791414603758,0.9763029786761525,23,24,-0.997233534239;-0.997233163777;-0.997231508834,-0.994659240692;-0.994655072823;-0.99465290863,0.0025786002041952027,1.0041777799915212,1.008036783809444,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,False,0.664642523333665,False,False
1,5,3,3,1;3;5,13;15;17,1.164592910985898,1.2165193699244445,0.042684448946975394,0.46161574334445543,0.346791414603758,0.9763029786761525,23,24,0.997231508834;0.997233163777;0.997233534239,0.99465290863;0.994655072823;0.994659240692,0.0025786002041952027,1.0041777799915212,1.008036783809444,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,False,0.664642523333665,False,False
76,104,1,1,86,120,-0.01432664586574739,-0.0,1.0,0.7445239938103053,0.7445239938103053,0.8628402903514012,0,0,0.0637803583375,0,0.06378035833751251,2.4588504972149905,2.722235115389011,mixed,real_dominant,UNDERRESOLVED,DIAGNOSTIC,False,0.6624244688740335,False,False
77,107,1,1,87,123,0.01432664586574739,0.0168354014808495,0.14901667880958194,0.5761187642184822,0.5761187642184822,0.7439368287539596,0,0,-0.0637803583375,0.351501864188,0.41528222252533686,2.4588504972149905,3.018965269275969,mixed,oscillatory,UNDERRESOLVED,DIAGNOSTIC,False,0.6593029638981419,False,False
6,32,1,1,16,48,-0.771136866528049,-0.6638456222977667,0.13913385403728434,0.5391246914125783,0.5391246914125783,0.8236192713181171,22,20,-0.98586764006,-0.981440537047,0.004427103013781242,1.0215157411196114,1.0214453036172033,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,False,0.6585095545714835,False,False
7,33,1,1,17,49,0.771136866528049,0.6638456222977667,0.13913385403728434,0.5391246914125783,0.5391246914125783,0.8236192713181171,22,20,0.98586764006,0.981440537047,0.004427103013781242,1.0215157411196114,1.0214453036172033,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,False,0.6585095545714835,False,False
50,78,1,1,60,94,-0.13860098799539547,-0.10176230426935154,0.2657894742227073,0.5345194091489839,0.5345194091489839,0.8105124528882529,12,12,0.0288478909846,0.0235202474127,0.0053276435718408455,9.385269144665099,1.539181492666971,mixed,mixed,UNDERRESOLVED,DIAGNOSTIC,False,0.6334713375780474,False,False
51,79,1,1,61,95,0.13860098799539547,0.10176230426935154,0.2657894742227073,0.5345194091489839,0.5345194091489839,0.8105124528882529,12,12,-0.0288478909846,-0.0235202474127,0.0053276435718408455,9.385269144665099,1.539181492666971,mixed,mixed,UNDERRESOLVED,DIAGNOSTIC,False,0.6334713375780474,False,False
52,80,1,1,62,96,-0.13860098799539594,-0.10176230426935146,0.2657894742227104,0.5345194091489838,0.5345194091489838,0.8105124528882548,12,12,0.0288478909846,0.0235202474127,0.005327643571834826,9.385269144665058,1.5391814926669753,mixed,mixed,UNDERRESOLVED,DIAGNOSTIC,False,0.6334713375780473,False,False
53,81,1,1,63,97,0.13860098799539594,0.10176230426935146,0.2657894742227104,0.5345194091489838,0.5345194091489838,0.8105124528882548,12,12,-0.0288478909846,-0.0235202474127,0.005327643571834826,9.385269144665058,1.5391814926669753,mixed,mixed,UNDERRESOLVED,DIAGNOSTIC,False,0.6334713375780473,False,False
62,94,1,1,72,110,-0.09419963053393135,-0.009810215622485978,0.8958571751621439,0.600361641953405,0.600361641953405,0.8067169216371609,10,10,0.0395671588918,0.0249443909653,0.014622767926461808,3.5248162291712726,1.1701221562243223,mixed,mixed,UNDERRESOLVED,DIAGNOSTIC,False,0.5775176393070116,False,False
63,95,1,1,73,111,0.09419963053393135,0.009810215622485978,0.8958571751621439,0.600361641953405,0.600361641953405,0.8067169216371609,10,10,-0.0395671588918,-0.0249443909653,0.014622767926461808,3.5248162291712726,1.1701221562243223,mixed,mixed,UNDERRESOLVED,DIAGNOSTIC,False,0.5775176393070116,False,False
