a,b,raw_indexed_normalized_rms,shape_arclength_phase_normalized_rms,best_phase_shift,orientation_reversed,family,category
Kzforce__0p025,Kzforce__0p1,3.45118006623091e-16,5.322897078519917e-16,0,False,Kzforce,special_dynamics
Kzforce__0p025,Kzforce__0p2,3.45118006623091e-16,5.322897078519917e-16,0,False,Kzforce,special_dynamics
Kzforce__0p025,Kzforce__0p4,3.45118006623091e-16,5.322897078519917e-16,0,False,Kzforce,special_dynamics
Kzforce__0p05,Kzforce__0p1,3.45118006623091e-16,5.322897078519917e-16,0,False,Kzforce,special_dynamics
Kzforce__0p05,Kzforce__0p2,3.45118006623091e-16,5.322897078519917e-16,0,False,Kzforce,special_dynamics
Kzforce__0p05,Kzforce__0p4,3.45118006623091e-16,5.322897078519917e-16,0,False,Kzforce,special_dynamics
Kzforce__0p1,Kzforce__0p2,3.45118006623091e-16,5.322897078519917e-16,0,False,Kzforce,special_dynamics
Kzforce__0p1,Kzforce__0p4,3.45118006623091e-16,5.322897078519917e-16,0,False,Kzforce,special_dynamics
Kzforce__0p2,Kzforce__0p4,3.45118006623091e-16,5.322897078519917e-16,0,False,Kzforce,special_dynamics
fmax__0,fmax__0p1,3.45118006623091e-16,5.322897078519917e-16,0,False,fmax,special_dynamics
fmax__0,fmax__100,3.45118006623091e-16,5.322897078519917e-16,0,False,fmax,special_dynamics
fmax__0,fmax__10,3.45118006623091e-16,5.322897078519917e-16,0,False,fmax,special_dynamics
fmax__0,fmax__1,3.45118006623091e-16,5.322897078519917e-16,0,False,fmax,special_dynamics
fmax__0p1,fmax__100,3.45118006623091e-16,5.322897078519917e-16,0,False,fmax,special_dynamics
fmax__0p1,fmax__10,3.45118006623091e-16,5.322897078519917e-16,0,False,fmax,special_dynamics
fmax__0p1,fmax__1,3.45118006623091e-16,5.322897078519917e-16,0,False,fmax,special_dynamics
fmax__100,fmax__10,3.45118006623091e-16,5.322897078519917e-16,0,False,fmax,special_dynamics
fmax__100,fmax__1,3.45118006623091e-16,5.322897078519917e-16,0,False,fmax,special_dynamics
fmax__10,fmax__1,3.45118006623091e-16,5.322897078519917e-16,0,False,fmax,special_dynamics
spstr__0p05,spstr__0p1,3.45118006623091e-16,5.322897078519917e-16,0,False,spstr,special_dynamics
spstr__0p05,spstr__0p2,3.45118006623091e-16,5.322897078519917e-16,0,False,spstr,special_dynamics
spstr__0p05,spstr__0p4,3.45118006623091e-16,5.322897078519917e-16,0,False,spstr,special_dynamics
spstr__0p05,spstr__0p8,3.45118006623091e-16,5.322897078519917e-16,0,False,spstr,special_dynamics
spstr__0p1,spstr__0p2,3.45118006623091e-16,5.322897078519917e-16,0,False,spstr,special_dynamics
spstr__0p1,spstr__0p4,3.45118006623091e-16,5.322897078519917e-16,0,False,spstr,special_dynamics
spstr__0p1,spstr__0p8,3.45118006623091e-16,5.322897078519917e-16,0,False,spstr,special_dynamics
spstr__0p2,spstr__0p4,3.45118006623091e-16,5.322897078519917e-16,0,False,spstr,special_dynamics
spstr__0p2,spstr__0p8,3.45118006623091e-16,5.322897078519917e-16,0,False,spstr,special_dynamics
spstr__0p4,spstr__0p8,3.45118006623091e-16,5.322897078519917e-16,0,False,spstr,special_dynamics
f-d-coupled__false,f-d-coupled__true,3.45118006623091e-16,5.322897078519917e-16,0,False,f-d-coupled,special_dynamics
