cluster_id,dimension,members,classification,omega_hat,sigma_hat,dominant_m,circularity_eigs,condition_number_median,condition_number_max,strict_true_degeneracy,core_eta_a_max,core_status,equilibrium_status
109,1,133,oscillatory,0.19166706988928936,-2.0048842634235327e-16,16,0.921175644805,1.0971787504337305,1.0971787504337305,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
110,1,134,mixed,-0.05574588575610275,-0.1557672622578098,1,-0.00872012200595,1.2881925424897998,1.2881925424897998,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
111,1,135,mixed,0.05574588575610275,-0.1557672622578098,1,0.00872012200595,1.2881925424897998,1.2881925424897998,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
112,1,136,mixed,-0.0557458857561024,0.15576726225780932,1,-0.00872012200596,1.2881925424897993,1.2881925424897993,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
113,1,137,mixed,0.0557458857561024,0.15576726225780932,1,0.00872012200596,1.2881925424897993,1.2881925424897993,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
114,1,138,mixed,-0.043048435294818284,-0.1252931322335919,3,-0.0244634822165,1.412783031795148,1.412783031795148,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
115,1,139,mixed,0.043048435294818284,-0.1252931322335919,3,0.0244634822165,1.412783031795148,1.412783031795148,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
116,1,140,mixed,-0.04304843529481829,0.1252931322335915,3,-0.0244634822165,1.4127830317951497,1.4127830317951497,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
117,1,141,mixed,0.04304843529481829,0.1252931322335915,3,0.0244634822165,1.4127830317951497,1.4127830317951497,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
118,1,142,mixed,-0.083923460728005,0.07437182236328055,15,-0.0598485783411,1.5816821582292289,1.5816821582292289,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
119,1,143,mixed,0.083923460728005,0.07437182236328055,15,0.0598485783411,1.5816821582292289,1.5816821582292289,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
120,1,144,mixed,-0.0032565277313562563,0.11265889228095743,13,0.0241891692372,1.3291039583227293,1.3291039583227293,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
121,1,145,mixed,0.0032565277313562563,0.11265889228095743,13,-0.0241891692372,1.3291039583227293,1.3291039583227293,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
122,1,146,mixed,-0.08392346072800487,-0.07437182236328094,15,-0.0598485783411,1.5816821582292266,1.5816821582292266,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
123,1,147,mixed,0.08392346072800487,-0.07437182236328094,15,0.0598485783411,1.5816821582292266,1.5816821582292266,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
124,1,148,mixed,-0.11467001349911146,0.03270864717406967,16,-0.0189080566167,3.761685481941588,3.761685481941588,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
125,1,149,mixed,0.11467001349911146,0.03270864717406967,16,0.0189080566167,3.761685481941588,3.761685481941588,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
126,1,150,mixed,-0.1146700134991118,-0.03270864717407006,16,-0.0189080566167,3.761685481941632,3.761685481941632,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
127,1,151,mixed,0.1146700134991118,-0.03270864717407006,16,0.0189080566167,3.761685481941632,3.761685481941632,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
128,1,152,oscillatory,-0.13434839027926915,-1.7410837024467522e-16,15,-0.873632077558,1.1551709436154958,1.1551709436154958,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
129,1,153,oscillatory,0.13434839027926915,-1.7410837024467522e-16,15,0.873632077558,1.1551709436154958,1.1551709436154958,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
