blind_id,status,n_input,thickness_raw,length_raw,ropelength_estimate,extent_core,tail_v2_exponent,tail_v2_fit_r2,tail_velocity_exponent,tail_mu_amp_log_slope,tail_mu_amp_fit_r2,tail_mu_poisson_log_slope,tail_mu_poisson_fit_r2,tail_mu_phi_log_slope,tail_mu_phi_fit_r2,tail_mu_amp_norm_median,tail_mu_poisson_norm_median,tail_mu_phi_norm_median,tail_poisson_to_amp_ratio,tail_phi_to_amp_ratio,tail_poisson_to_phi_ratio,tail_poisson_positive_fraction,tail_anisotropy_median,tail_beltrami_misalignment_median,poisson_identity_rel_rms_max,divergence_rms_norm_max,mu_amp_phys_m3_s2,mu_poisson_phys_m3_s2,mu_phi_phys_m3_s2,mass_amp_kg,mass_poisson_kg,mass_phi_kg,thickness_limiter,thickness_local_raw,thickness_nonlocal_raw
K_E2CA4F9C0BB3,OK,901,0.04136904486582848,40.5813913805677,980.9603173625266,67.6666319432319,6.064705600894823,0.9999938263210777,3.0323528004474114,-5.064705600894826,0.9999911477450885,-5.085443496306094,0.9999849469327794,-5.0854360223518364,0.9999849497102352,5.09770877774713e-10,3.0888218137013215e-09,3.088811598647488e-09,6.059235527900023,6.059215489380212,1.0000033071145673,1.0,0.4310851610660115,0.8571748715678718,1.4594308618754317e-16,1.980588817323477e-21,3.3927247649523737e-11,2.055731843218568e-10,2.0557250447003263e-10,0.5083266806934621,3.0800710834373164,3.080060897323055,curvature,0.04136904486582848,0.17937145923439823
K_6CA7D1A711CE,OK,899,0.029129585622294358,45.00294127713581,1544.9221235297205,86.53664203123913,6.045938234425422,0.9999968326323312,3.022969117212711,-5.045938234425429,0.9999954528274775,-5.060816537120875,0.9999921632560248,-5.060811944723587,0.9999921645059626,1.4064020450315534e-09,8.497449671657982e-09,8.497432479312733e-09,6.041977613497666,6.041965389151641,1.0000020232399953,1.0,0.45329775510325604,0.7551068210218954,1.4819254249911865e-16,1.5734693738426284e-21,9.360156210741675e-11,5.655385428414234e-10,5.655373986235397e-10,1.4024176633866736,8.473376126955987,8.473358983317198,self_distance,0.057752067975754454,0.029129585622294358
K_CD95A81CD2CF,OK,899,0.01357339968467643,33.38068313854217,2459.2720994009333,171.33388156458693,6.108696289228563,0.9999836973093583,3.0543481446142815,-5.108696289228566,0.9999766904901162,-5.142232987259862,0.9999618483089673,-5.142231817285975,0.9999618489910311,2.1026386550703368e-10,1.2826355974545831e-09,1.282634936348574e-09,6.100123739100939,6.100120594927747,1.0000005154280385,1.0,0.5889076620341085,0.7940474841095211,1.476498412819846e-16,3.5401120166012734e-22,1.3993883424537099e-11,8.53644204802299e-11,8.536437648103677e-11,0.20966818130046747,1.279001850085101,1.2790011908520262,self_distance,0.03823220061838573,0.01357339968467643
K_87FA62BBE542,OK,600,0.04660163767710828,43.07399538239593,924.3021818427379,61.14022254062586,6.128726021283095,0.9999775791817963,3.0643630106415474,-5.128726021283104,0.9999679838795532,-5.168012842290537,0.999948207425672,-5.168003753360848,0.9999482134617044,2.1319490341351742e-10,1.3044934267234682e-09,1.3044881446130183e-09,6.118783356622952,6.118758580653333,1.0000040491824105,1.0,0.5951371461451722,0.7715646245546142,1.5474873153793668e-16,3.3174569196310494e-21,1.4188955472115625e-11,8.681914459064524e-11,8.681879304551555e-11,0.21259091548350578,1.3007977554297117,1.3007924882836486,curvature,0.04660163767710828,0.1695764151000819
K_E57EDBD0D445,OK,600,0.009881207857612134,54.076479975945745,5472.658884944631,372.9823813636884,6.018064822736256,0.9999994853381621,3.009032411368128,-5.018064822736261,0.9999992597761789,-5.024082387033399,0.9999986878920321,-5.024082138045797,0.9999986879200795,4.000874074139755e-10,2.4070929917862458e-09,2.40709272569523e-09,6.016417780666604,6.016417115584397,1.000000110544564,1.0,0.4497273693944125,0.7465461054036686,1.4566523872769301e-16,7.15471637734094e-23,2.6627383290397866e-11,1.6020146228097454e-10,1.602014445715757e-10,0.3989539470865539,2.4002736209186666,2.4002733555814952,self_distance,0.05306667969588338,0.009881207857612134
K_BD44E8868E58,OK,600,0.040550001065287895,39.111691471172456,964.529973949947,62.08868994387073,6.005190554349947,0.9999999556942467,3.0025952771749735,-5.005190554349944,0.9999999362217689,-5.006971092112661,0.9999998838353124,-5.0069623031929265,0.9999998841290997,2.690136654480173e-09,1.615350573271075e-08,1.6153442644816832e-08,6.0047156733872935,6.004692221829985,1.0000039055386092,1.0,0.45459152156331384,0.9232820116361439,1.534983439938027e-16,3.9823623027925624e-21,1.7903912613843995e-10,1.075079046873055e-09,1.0750748481267279e-09,2.68251541192994,16.10774233811868,16.107679428954768,curvature,0.040550001065287895,0.16759179655770112
K_556812E2D5CC,OK,600,0.027284532461025537,40.93872409693592,1500.4370756733563,115.19663323392784,6.037608324138407,0.9999977623318297,3.0188041620692037,-5.037608324138401,0.9999967857745472,-5.050207763773394,0.9999942295759435,-5.050205108183045,0.999994230210581,1.841745125503757e-11,1.1113264966455157e-10,1.1113252143585793e-10,6.034094952967741,6.034087990620352,1.0000011538359068,1.0,0.48303048980264385,0.7333353066768822,1.7201417512985417e-16,7.206789830006092e-22,1.2257534846446009e-12,7.396312915276607e-12,7.396304381155035e-12,0.01836527403090363,0.1108178073397451,0.11081767947432743,self_distance,0.04407908260299222,0.027284532461025537
K_7E39AC7E0592,OK,600,0.05114288375325893,51.58451052157011,1008.6351557812388,68.3371485962241,6.042115202640632,0.9999969882375372,3.021057601320316,-5.042115202640621,0.999995675134354,-5.0567505512942965,0.9999920781080333,-5.056743156925698,0.99999208014408,2.5552403392287777e-10,1.5428191000336069e-09,1.5428140981022105e-09,6.037862960864419,6.037843385674877,1.0000032420830238,1.0,0.4683555187052233,0.8295164745350413,1.665645787766886e-16,1.9731322601850894e-21,1.7006124824451107e-11,1.0268065118539026e-10,1.0268031828727346e-10,0.2548001262222422,1.5384482445408547,1.5384432567800888,curvature,0.05114288375325893,0.500000015626671
K_5C903FE7DD28,OK,600,0.021674805054429036,53.14593807415068,2451.9684463455333,169.39919463522443,6.0192216445802105,0.9999982939261296,3.0096108222901052,-5.019221644580219,0.999997546390584,-5.030798405723388,0.9999935673679781,-5.030797216924606,0.9999935676594384,1.3890735428777314e-11,8.354049778838536e-11,8.354045375495919e-11,6.014116258763035,6.014113088777803,1.0000005270910581,1.0,0.44161649381901713,0.923228237147243,1.5745194303711877e-16,3.114833840747259e-22,9.24482824486524e-13,5.559947185691577e-12,5.5599442550946755e-12,0.01385138253429609,0.08330382490585646,0.08330378099717838,self_distance,0.05328014062489055,0.021674805054429036
K_4B4AB76061B2,OK,300,0.47950060556363255,48.436164303661194,101.01377087256552,6.4431182399065285,5.99784295382559,0.999999993776992,2.998921476912795,-4.997842953825592,0.9999999910375793,-4.998018054274134,0.9999999937224663,-4.997190408303677,0.9999999855061437,1.4996751071131368e-07,8.998326460402607e-07,8.995044432229739e-07,6.00018391831836,5.997995425519285,1.0003648707015953,1.0,0.43661826758022615,0.9992759173690011,1.44904046920236e-16,4.549716598456625e-19,9.980924954944004e-09,5.988738540459742e-08,5.986554222220542e-08,149.542647992209,897.2833915855958,896.9561185773103,curvature,0.47950060556363255,0.4999947534093407
K_2CE36F5EEB80,OK,300,0.32340763671842665,16.373878558100078,50.629226706714775,4.930713333520443,5.996040327062539,0.9999999759663849,2.9980201635312693,-4.996040327062538,0.9999999653824508,-4.996148022646735,0.9999999688638356,-4.994742933952702,0.9999999394165998,8.55409749700418e-08,5.132554346567385e-07,5.129365244735754e-07,6.000112049652123,5.996383892669172,1.0006217342067625,1.0,0.4410819017971229,0.9989150489109502,1.4424684935173987e-16,6.560992516197973e-19,5.693086773922966e-09,3.415915855193032e-08,3.413793383071957e-08,85.2986346721449,511.8013657152109,511.4833590147217,curvature,0.32340763671842665,0.49999913865832163
K_0A069D33C5E5,OK,600,0.011976921727347921,25.055984334288297,2092.0220491276855,161.38330698158535,6.001514024423896,0.9999999958585598,3.000757012211948,-5.001514024423907,0.999999994036928,-5.002060165377487,0.9999999886973622,-5.002058857842428,0.999999988711076,2.236122186736089e-09,1.3419764055278551e-08,1.3419756278403484e-08,6.001355442417232,6.001351964577285,1.0000005795094118,1.0,0.44200951448196446,0.66561904086804,1.4918938133341388e-16,7.086130256515059e-22,1.4882268586068127e-10,8.931378357451496e-10,8.931373181636678e-10,2.229787181587302,13.381745437651134,13.381737682808202,self_distance,0.026204077753554333,0.011976921727347921
