blind_id,source,topology_class,components,status,component_count,core_radius_norm,thickness_norm,core_clearance_radii,shape_velocity_ratio,normalized_growth,jacobian_convergence,nearest_self_distance,nearest_inter_distance,nearest_relevant_rate,TBK_block_diagonal_growth_penalty,ringdown_max_recurrence,ringdown_core_event,linking_drift_max,rpo_found,floquet_valid,floquet_rho_non,analysis_scope,jacobian_reference_eps,jacobian_convergence_eps_count,jacobian_robustness_eps_count,jacobian_robustness_relative_drift_max,dominant_kmax_boundary_weight,dominant_kelvin_k,kmax_basis_present,min_component_nyquist_k,spectral_nyquist_fraction,spectral_nyquist_safe,reduced_mode_count,spectral_extension_fast_path
B27,fremlin:4_1:knot.4_1,knot,1,LINEAR_PASS,1,0.12155746341585445,0.13506384823983827,1.1111111111111112,0.46601111483940355,0.098806480635727,0.04394650631035846,0.27012769647967655,inf,-0.053603660855672114,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.006291083314978768,4,True,360,0.08888888888888889,True,127,True
B28,knotplot:torus_2.5,torus_knot,1,LINEAR_FAIL,1,0.11730888136643879,0.1303432015182653,0.6209413070159477,0.3316671769140421,0.11631289837305428,0.023526147232181285,0.2606869434865024,inf,-0.09130577992070577,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,1.7722259593685937e-10,5,True,360,0.08888888888888889,True,127,True
B29,knotplot:link_9.2.20,link,2,LINEAR_FAIL,2,0.05769931035977658,0.0641103448441962,1.1111142532192577,0.5649111813548302,0.023989823313032742,0.22442128369170994,0.12822105228333866,0.12822553386060806,-0.6535991603814505,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.0018603939019636332,4,True,143,0.22377622377622378,True,254,True
B30,knotplot:link_0.3.1,unlink,3,LINEAR_FAIL,3,0.16037489319598833,0.17819432577332037,1.5551996927771266,0.2523349067426753,0.12529264702533674,0.08878521738552418,0.18048221934865286,1.4208635693420382,3.736953729099879e-08,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,3.259964921809561e-11,3,True,120,0.26666666666666666,True,381,True
B31,fremlin:5_1:knot.5_1u,knot,1,LINEAR_FAIL,1,0.05221062978338678,0.05801181087042975,1.1111111111111112,0.6292683719593664,0.43670033679755715,0.0272715007796921,0.1160236217408595,inf,-0.05357031678215518,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,5.011917491959563e-28,3,True,360,0.08888888888888889,True,127,True
B32,knotplot:torus_3.6,torus_link,3,LINEAR_FAIL,3,0.06674029277052813,0.07415588085614237,1.1111658785165537,0.385478496696483,0.09639600529026941,0.2953160545772817,0.17143405811570483,0.1483190720976318,-0.32207406803966127,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.0006060987334503291,4,True,120,0.26666666666666666,True,381,True
B33,fremlin:6_2:knot.6_2p,knot,1,LINEAR_FAIL,1,0.018365822840954876,0.020406469823283195,1.1111111111111112,0.7293231346767522,0.5802888884671522,0.11023126349291078,0.00420095341411548,inf,0.4462597924989838,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.00995896659443759,11,True,360,0.08888888888888889,True,127,True
B34,fremlin:8_18:knot.8_18,knot,1,LINEAR_FAIL,1,0.03135631008454623,0.0348403445383847,1.1111111111111112,0.6274230937605939,0.3196475686739527,0.07865154045686193,1.2993220735726025e-14,inf,-0.056158317744586704,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.00022442238108429173,11,True,360,0.08888888888888889,True,127,True
B35,fremlin:8_11:knot.8_11,knot,1,LINEAR_FAIL,1,0.04834210792250143,0.05371345324722381,1.1111111111111112,0.4456855164091962,0.22073141928815124,0.03467209147991346,0.12069179080858032,inf,0.03975974028195328,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.00445784326048425,11,True,360,0.08888888888888889,True,127,True
B36,knotplot:link_6.2.1,link,2,LINEAR_FAIL,2,0.09560915165914627,0.10623239073238475,1.111116706137424,0.36127428120010735,0.055515071411133834,0.1573441423344438,0.2451047151436776,0.21246585133620807,0.15198005768299772,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.00037659417448655813,3,True,175,0.18285714285714286,True,254,True
