low_group,high_group,low_dimension,high_dimension,low_members,high_members,low_omega_hat,high_omega_hat,frequency_rel_error,overlap,minimum_overlap,fingerprint_similarity,low_dominant_m,high_dominant_m,low_ppw,high_ppw,low_wavelength_status,high_wavelength_status,low_circularity_eigs,high_circularity_eigs,circularity_error,low_condition_number_max,high_condition_number_max,low_class,high_class,low_core_status,high_core_status,equilibrium_ready,score,numerically_trackable,physical_interpretation_allowed
64,24,1,1,64,24,-0.7563247181867003,-0.7273571594011238,0.03830042584754694,0.9978394818880403,0.9978394818880403,0.9994503366362105,30,30,8.533333333333333,10.666666666666666,DIAGNOSTIC,DIAGNOSTIC,-0.992052084781,-0.991444198411,0.0006078863702245751,1.0272860763115421,1.0301923159487825,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.9928212094147447,True,False
65,25,1,1,65,25,0.7563247181867003,0.7273571594011238,0.03830042584754694,0.9978394818880403,0.9978394818880403,0.9994503366362105,30,30,8.533333333333333,10.666666666666666,DIAGNOSTIC,DIAGNOSTIC,0.992052084781,0.991444198411,0.0006078863702245751,1.0272860763115421,1.0301923159487825,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.9928212094147447,True,False
28,28,1,1,28,28,-0.9324580146851832,-0.8999529435475598,0.03485955466702453,0.996861622931201,0.996861622931201,0.9996859507809899,34,34,7.529411764705882,9.411764705882353,UNDERRESOLVED,DIAGNOSTIC,-0.992796975738,-0.992234731928,0.0005622438104651017,1.0145384797627177,1.016329803914851,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.9928095282539143,True,False
29,29,1,1,29,29,0.9324580146851832,0.8999529435475598,0.03485955466702453,0.996861622931201,0.996861622931201,0.9996859507809899,34,34,7.529411764705882,9.411764705882353,UNDERRESOLVED,DIAGNOSTIC,0.992796975738,0.992234731928,0.0005622438104651017,1.0145384797627177,1.016329803914851,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.9928095282539143,True,False
32,22,1,1,32,22,-0.8076148021154039,-0.7775728365148663,0.037198384083412146,0.9975797530565137,0.9975797530565137,0.9993578697474195,31,31,8.258064516129032,10.32258064516129,DIAGNOSTIC,DIAGNOSTIC,-0.992935468219,-0.992407877319,0.0005275909009363478,1.0261821420060269,1.0291273684799656,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.9928075616582513,True,False
33,23,1,1,33,23,0.8076148021154039,0.7775728365148663,0.037198384083412146,0.9975797530565137,0.9975797530565137,0.9993578697474195,31,31,8.258064516129032,10.32258064516129,DIAGNOSTIC,DIAGNOSTIC,0.992935468219,0.992407877319,0.0005275909009363478,1.0261821420060269,1.0291273684799656,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.9928075616582513,True,False
66,12,1,1,66,12,-0.7040887636619811,-0.6762607540816388,0.03952343939648785,0.9980767528597067,0.9980767528597067,0.9995296032426305,29,29,8.827586206896552,11.03448275862069,DIAGNOSTIC,DIAGNOSTIC,-0.990983574674,-0.990274679811,0.0007088948634925707,1.0286061084744578,1.031499440570465,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.9927999366170084,True,False
67,13,1,1,67,13,0.7040887636619811,0.6762607540816388,0.03952343939648785,0.9980767528597067,0.9980767528597067,0.9995296032426305,29,29,8.827586206896552,11.03448275862069,DIAGNOSTIC,DIAGNOSTIC,0.990983574674,0.990274679811,0.0007088948634925707,1.0286061084744578,1.031499440570465,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.9927999366170084,True,False
38,16,1,1,38,16,-0.8580530008859542,-0.8270091758672993,0.03617937934673231,0.9972969457464732,0.9972969457464732,0.9992523619444441,32,32,8.0,10.0,DIAGNOSTIC,DIAGNOSTIC,-0.993658305366,-0.993196324546,0.00046198082003556795,1.0252407764218043,1.0282420058629578,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.992764351031985,True,False
39,17,1,1,39,17,0.8580530008859542,0.8270091758672993,0.03617937934673231,0.9972969457464732,0.9972969457464732,0.9992523619444441,32,32,8.0,10.0,DIAGNOSTIC,DIAGNOSTIC,0.993658305366,0.993196324546,0.00046198082003556795,1.0252407764218043,1.0282420058629578,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.992764351031985,True,False
96,96,1,1,96,96,-0.6513210324403609,-0.6246997261167534,0.04087278776160984,0.9982937275879601,0.9982937275879601,0.9995995892504791,28,28,9.142857142857142,11.428571428571429,DIAGNOSTIC,DIAGNOSTIC,-0.989634292013,-0.98879704752,0.0008372444922019051,1.0302010974837725,1.0331108968200726,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.9927452157011543,True,False
97,97,1,1,97,97,0.6513210324403609,0.6246997261167534,0.04087278776160984,0.9982937275879601,0.9982937275879601,0.9995995892504791,28,28,9.142857142857142,11.428571428571429,DIAGNOSTIC,DIAGNOSTIC,0.989634292013,0.98879704752,0.0008372444922019051,1.0302010974837725,1.0331108968200726,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.9927452157011543,True,False
104,98,1,1,104,98,-0.6242263507554805,-0.5980120080249629,0.04199493132385588,0.9984416914313272,0.9984416914313272,0.9998482643939934,28,28,9.142857142857142,11.428571428571429,DIAGNOSTIC,DIAGNOSTIC,-0.981457630402,-0.979693933848,0.001763696553936489,1.0277422496420336,1.0304694146600755,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.9927278412587163,True,False
105,99,1,1,105,99,0.6242263507554805,0.5980120080249629,0.04199493132385588,0.9984416914313272,0.9984416914313272,0.9998482643939934,28,28,9.142857142857142,11.428571428571429,DIAGNOSTIC,DIAGNOSTIC,0.981457630402,0.979693933848,0.001763696553936489,1.0277422496420336,1.0304694146600755,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.9927278412587163,True,False
24,44,1,1,24,44,-0.9801749040689035,-0.9468718420428283,0.0339766524197135,0.9965144252745222,0.9965144252745222,0.9996451252723018,35,35,7.314285714285714,9.142857142857142,UNDERRESOLVED,DIAGNOSTIC,-0.993594483603,-0.993106579813,0.00048790379004659545,1.0134597869165172,1.0152170537556133,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.9927234386198317,True,False
25,45,1,1,25,45,0.9801749040689035,0.9468718420428283,0.0339766524197135,0.9965144252745222,0.9965144252745222,0.9996451252723018,35,35,7.314285714285714,9.142857142857142,UNDERRESOLVED,DIAGNOSTIC,0.993594483603,0.993106579813,0.00048790379004659545,1.0134597869165172,1.0152170537556133,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.9927234386198317,True,False
30,26,1,1,30,26,-0.9073917817896823,-0.8754225865013671,0.03523196476968444,0.9969887635086563,0.9969887635086563,0.9991305353397674,33,33,7.757575757575758,9.696969696969697,UNDERRESOLVED,DIAGNOSTIC,-0.994265578834,-0.993857042777,0.0004085360565294627,1.0244378065517692,1.0275116261932253,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.9926910972246829,True,False
31,27,1,1,31,27,0.9073917817896823,0.8754225865013671,0.03523196476968444,0.9969887635086563,0.9969887635086563,0.9991305353397674,33,33,7.757575757575758,9.696969696969697,UNDERRESOLVED,DIAGNOSTIC,0.994265578834,0.993857042777,0.0004085360565294627,1.0244378065517692,1.0275116261932253,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.9926910972246829,True,False
106,100,1,1,106,100,-0.5977766465320024,-0.5724070726583038,0.04243988790943898,0.9984910604851587,0.9984910604851587,0.999658367621327,27,27,9.481481481481481,11.851851851851851,DIAGNOSTIC,DIAGNOSTIC,-0.987971991706,-0.986968894859,0.0010030968470463586,1.0321553455559203,1.035125876737844,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.992643245010011,True,False
107,101,1,1,107,101,0.5977766465320024,0.5724070726583038,0.04243988790943898,0.9984910604851587,0.9984910604851587,0.999658367621327,27,27,9.481481481481481,11.851851851851851,DIAGNOSTIC,DIAGNOSTIC,0.987971991706,0.986968894859,0.0010030968470463586,1.0321553455559203,1.035125876737844,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.992643245010011,True,False
20,38,1,1,20,38,-1.026645418496705,-0.9926258186658743,0.03313665966643582,0.9961388128117507,0.9961388128117507,0.9995989924716422,36,36,7.111111111111111,8.88888888888889,UNDERRESOLVED,DIAGNOSTIC,-0.994252906239,-0.99382530447,0.0004276017693654044,1.0125268664330016,1.0142600285641319,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.9926125368549956,True,False
