theme,zip,cls,eligible,reason,n_text,legacy,C,Q,AB,chain
KnotPlot,twistknotsFseries.zip,A/B,False,no absolute dimensionful or action-scale observable found,0,0,0,0,0,0
KnotPlot,VAM_Fseries.zip,X,False,uses legacy reference normalization (2 hits) -> gate 1 fails,12,2,10,0,15,10
Misc,040 outputs.zip,A/B,False,no absolute dimensionful or action-scale observable found,30,0,0,0,15,0
Misc,20260801T183455Z.zip,C,True,"absolute observable present (C=264, Q=0)",213,0,264,0,66,0
Misc,batch_runs.zip,A/B,False,no absolute dimensionful or action-scale observable found,126,0,0,0,0,0
Misc,exports.zip,C,True,"absolute observable present (C=5, Q=0)",15,0,5,0,4,5
Misc,extern_scripts.zip,A/B,False,no absolute dimensionful or action-scale observable found,1,0,0,0,0,0
Misc,Ideal_Links_Comprehensive_Test_first-120_outputs_full.zip,A/B,False,no absolute dimensionful or action-scale observable found,137,0,0,0,2,0
Misc,images.zip,A/B,False,no absolute dimensionful or action-scale observable found,0,0,0,0,0,0
Misc,knot_3.1.zip,A/B,False,no absolute dimensionful or action-scale observable found,45,0,0,0,6,0
Misc,knot_matrix_all.zip,A/B,False,no absolute dimensionful or action-scale observable found,30,0,0,0,0,0
Misc,legacy_all_versions_from_user_zip.zip,X,False,uses legacy reference normalization (4 hits) -> gate 1 fails,43,4,20,0,70,3
Misc,local_A_curves.zip,C,True,"absolute observable present (C=1, Q=0) [WARN: heavy calibrated-chain dependence]",27,0,1,0,1,54
Misc,out.zip,A/B,False,no absolute dimensionful or action-scale observable found,35,0,0,0,10,0
Misc,pybind11_headers.zip,C,True,"absolute observable present (C=7, Q=0)",55,0,7,0,11,1
Misc,rest_onderzoek.zip,X,False,uses legacy reference normalization (8 hits) -> gate 1 fails,165,8,42,0,266,25
Misc,routeC_pressure_susceptibility_trial_bundle.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,4,1,9,0,29,96
Misc,routeD_maximum_tension_trial_bundle.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,4,1,5,0,52,315
Misc,run_20260626_220112.zip,C,True,"absolute observable present (C=1, Q=0)",21,0,1,0,1,0
Misc,run_20260627_012605.zip,A/B,False,no absolute dimensionful or action-scale observable found,13,0,0,0,0,0
Misc,sst_emergent_SR_calculations.zip,A/B,False,dominated by dimensionless observables (AB=26 vs CQ=3),11,0,3,0,26,58
