time_hat,a2_re,a2_im,a3_re,a3_im,a4_re,a4_im,a5_re,a5_im,a6_re,a6_im,a7_re,a7_im
0.186,0.006082257833829334,0.00021130515335449377,0.005543522334141959,-0.0001577327570369316,0.005307829653636985,0.0004572451877772766,-0.00023088392601926212,3.989841247078064e-05,-0.00017179900916769106,6.117251927540432e-05,-0.005534823973099716,0.002335750301445636
0.192,0.006084393227210534,-9.707272631069271e-06,0.005506103614035989,-0.0005458707631213616,0.005325525042610274,-0.0001061453513152579,-0.00023401925083906696,7.301488372440327e-05,-0.00016506337344092013,8.113539280867662e-05,-0.005105938322128099,0.0032192390093290385
0.198,0.006077379021592002,-0.0002308848494478545,0.005442374998521216,-0.0009319379817382914,0.005287637212541064,-0.0006681339813123543,-0.00023206489072893758,0.00010743437701142208,-0.00015576990490539806,0.00010039463634539561,-0.004535208600844776,0.004018980073675187
0.20400000000000001,0.006061117810829103,-0.0004518731772954871,0.005352470283607461,-0.0013142771742948854,0.005194593105258577,-0.001223235988562414,-0.00022472110910947318,0.00014233779999657005,-0.00014399655263094228,0.00011860661459181694,-0.0038387100440556007,0.004712495439102147
0.21,0.00603552791818073,-0.0006722993718790615,0.005236612054742939,-0.00169124240325405,0.005047330725456865,-0.0017660408307129062,-0.00021182567107607873,0.00017685069328462642,-0.00012986838340977463,0.00013543783207319504,-0.0030360726436264836,0.005280305303128828
0.216,0.006000547570885775,-0.0008917724145853503,0.00509510541535448,-0.002061198974442483,0.0048472878755299155,-0.0022912563306796306,-0.0001933633142823935,0.0002100671172763735,-0.00011355623147802979,0.0001505715608643046,-0.002149925344131388,0.00570648287777709
0.222,0.005956139254102365,-0.001109884659124513,0.004928333700017544,-0.002422520706138157,0.004596388783823801,-0.0027937506723487446,-0.00016947098540177896,0.00024107491602321082,-9.527433896887273e-05,0.0001637142418496031,-0.0012052539220403031,0.0059791078687736355
0.228,0.005902293903918365,-0.0013262145931001727,0.004736757084919677,-0.0027735854074445276,0.004297029220219149,-0.0032685928049532506,-0.0001404386795872208,0.0002689816226032157,-7.527703773788997e-05,0.00017460148546843567,-0.00022869106979346178,0.006090605443833882
0.234,0.005839034558109359,-0.0015403308395252303,0.004520914652015551,-0.0031127697111648926,0.003952060278208078,-0.003711092046866295,-0.00010670583378264028,0.00029294026500601084,-5.38545593634001e-05,0.00018300351610798897,0.0007522408193496686,0.006037960822934157
0.24,0.005766419079284378,-0.0017517972534629978,0.004281430040129679,-0.0034384445315321153,0.0035647705374212604,-0.004116837673270125,-6.88533351331129e-05,0.00031217433437789963,-3.132808844936042e-05,0.00018872993117306514,0.0017099122961719319,0.0058228032506106985
0.246,0.0056845416047017865,-0.0019601788360333206,0.0040190203795004995,-0.003748972391068283,0.0031388658873332986,-0.0044817390669610775,-2.759131797654894e-05,0.00032600118859348764,-8.044192570989123e-06,0.00019163367773691962,0.002617372310496415,0.005451356908237619
0.252,0.005593532462397275,-0.002165048067935243,0.0037345078108189374,-0.004042707690071675,0.0026784459722208886,-0.004802066632541995,1.625695930386169e-05,0.0003338531873621933,1.5631230229281494e-05,0.000191614182361251,0.003449113747464921,0.004934260201339708
0.258,0.005493556420625045,-0.002365991174260469,0.003428832584417484,-0.004318000702950562,0.0021879760743432836,-0.005074493177467915,6.177474252888073e-05,0.0003352958971349063,3.9319347233911445e-05,0.00018861959921903767,0.0041817968614928265,0.004286258718571846
0.264,0.0053848092970276255,-0.0025626137872475883,0.0031030665550682113,-0.00457320572008896,0.0016722533245318622,-0.005296134927399487,0.00010797437448643908,0.00033004277225986067,6.263499916910552e-05,0.0001826481651788748,0.004794909630905534,0.0035257809009211177
0.27,0.005267513129660169,-0.0027545454855504936,0.002758425848925048,-0.004806693364095844,0.0011363664201477397,-0.005464590856608295,0.00015382219300753256,0.0003179658184777154,8.519340066927544e-05,0.00017374866682378395,0.0052713459161898065,0.0026744089654362592
0.276,0.005141910283777881,-0.00294144276335048,0.00239628157592209,-0.00501686674860551,0.0005856485067515225,-0.0055779786606122645,0.00019826497536720462,0.00029910187697498164,0.00010661682327645398,0.00016202003422837287,0.005597884785290568,0.0017562607708086564
0.28200000000000003,0.0050082570137176445,-0.0031229901182979426,0.0020181676671975086,-0.005202180862451838,2.5623477266273603e-05,-0.005634965542695785,0.0002402571017300916,0.00027365432716816953,0.00012654115791170388,0.00014761008210407512,0.005765557404578953,0.0007973009640641752
0.28800000000000003,0.00486681709654534,-0.0032988991333995268,0.001625785190619403,-0.005361164383220958,-0.0005380534251763927,-0.00563479206310615,0.0002787875840990473,0.00024199018377224387,0.00014462225612635408,0.00013071342395207328,0.005769891381140203,-0.00017539820884682997
0.294,0.0047178561856177584,-0.003468905646048699,0.001221002787607997,-0.005492443062812549,-0.0010996592407657073,-0.005577287607493047,0.00031290612879422675,0.00020463274376403344,0.0001605419484075941,0.00011156859237744184,0.005611026243637929,-0.001134424702128212
0.3,0.004561637487011041,-0.0036327653224879556,0.0008058531314437869,-0.005594763872629824,-0.001653469273638817,-0.005462876530791236,0.00034174746920781875,0.00016225010500870135,0.00017401363601318351,9.045441092141822e-05,0.005293697703021079,-0.002052800760966377
0.306,0.004398419238425761,-0.003790248159553944,0.00038252549163113043,-0.005667019216671862,-0.0021938233090913082,-0.005292574654916464,0.0003645533139472559,0.0001156400152480491,0.00018478735379537392,6.768568009723986e-05,0.004827092268521131,-0.0029047411513852036
0.312,0.004228454277770325,-0.003941132589140292,-4.664542096929257e-05,-0.00570827067298658,-0.00271518997483934,-0.005067976454979301,0.00038069139032000316,6.571160674414265e-05,0.00019265420868074185,4.360826112743076e-05,0.0042245775442762415,-0.0036663742536682553
0.318,0.004051991746554005,-0.00408519994008535,-0.00047919415695118307,-0.005717771859116022,-0.003212227404604256,-0.004791233866506,0.0003896712079880589,1.346462339070595e-05,0.00019745011416599713,1.859366171214549e-05,0.0035033169582397074,-0.004316406245901386
0.324,0.0038692807094222285,-0.004222230000793981,-0.0009125426817527041,-0.00569499009254489,-0.003679838803570619,-0.004465028103635129,0.00039115630591871086,-4.003324395599264e-05,0.00019905876561651854,-6.966755481632725e-06,0.0026837806771420245,-0.004836710614057754
0.33,0.003680575218902162,-0.004351998318494639,-0.0013440219856189627,-0.0056396265051502,-0.004113222076527731,-0.0040925361378855545,0.0003849728638212488,-9.367032284673081e-05,0.00019741383211621514,-3.2667813423377596e-05,0.001789166983655484,-0.005212827613697801
0.336,0.003486140148057655,-0.004474275675022449,-0.0017708972381901636,-0.005551634165587747,-0.0045079132746320884,-0.0036773935243922433,0.00037111464892644933,-0.00014631567922057675,0.00019250037369892387,-5.809668669876761e-05,0.0008447504222605175,-0.005434360953013065
0.342,0.0032862569839838614,-0.004588829914526377,-0.0021903965868163423,-0.00543123358434229,-0.0048598241588480445,-0.0032236550889491317,0.0003497443289210685,-0.00019684409659817938,0.00018435552223643225,-8.283908638143374e-05,-0.00012282541998369996,-0.005495261767013316
0.34800000000000003,0.003081228744294598,-0.0046954299964950385,-0.0025997436000683672,-0.005278924763879486,-0.005165274594080204,-0.0027357546485245786,0.0003211912173989636,-0.0002441608626305412,0.00017306848426802007,-0.00010648538519548425,-0.0010862915023456966,-0.00539399283935406
0.354,0.0028713832572264935,-0.004793851846205731,-0.002996193135202454,-0.0050954947670492495,-0.005421020729876101,-0.0022184644968261916,0.0002859455394453184,-0.00028722593912814884,0.000158779930208716,-0.00012863663799315376,-0.0020185135530899683,-0.005133568965797829
0.36,0.002657074229510324,-0.004883885314730559,-0.0033770700708126633,-0.00488201967104123,-0.005624279975091286,-0.001676854921668188,0.0002446493240667049,-0.00032507710176752323,0.0001416808248383061,-0.00014891048512843843,-0.00289324881060622,-0.00472147233146164
0.366,0.0024386797957608158,-0.004965341379363887,-0.0037398099308032272,-0.004639859804499002,-0.005772753650697337,-0.0011162536050229692,0.000198084058171317,-0.0003568516317325513,0.00012201073024140357,-0.0001669469505549704,-0.0036858791466081436,-0.004169444794903523
0.372,0.002216598566835943,-0.00503805864142896,-0.004081999992215097,-0.004370647365648681,-0.005864647948755818,-0.0005422044461244251,0.0001471552810091948,-0.0003818061324012672,0.00010005557920634748,-0.00018241415642258505,-0.004374100796919635,-0.00349316203370876
0.378,0.0019912435312373945,-0.005101908227243324,-0.004401419088677612,-0.004076265896287583,-0.005898693494193787,3.9574825320437546e-05,9.287436025649733e-05,-0.00039933404100585225,7.614488167671698e-05,-0.0001950139683043377,-0.004938551716542144,-0.002711797586924255
