low_group,high_group,low_dimension,high_dimension,low_members,high_members,low_m,high_m,low_omega_hat,high_omega_hat,frequency_rel_error,low_sigma_hat,high_sigma_hat,sigma_hat_abs_error,overlap,minimum_overlap,low_circularity_eigs,high_circularity_eigs,circularity_error,low_class,high_class,converged,physical_interpretation_allowed
101,159,1,1,101,163,,,0.09291168538605955,0.02556564591639698,0.7248392835608508,-0.05001838640955014,-0.1010729586009223,0.05105457219137216,0.7832042764817672,0.7832042764817672,0.0759671734184,0.0346883385573,0.04127883486115179,mixed,mixed,False,False
64,146,1,1,64,150,,,-0.34567116813283466,-0.1146700134991111,0.6682685046643936,1.0552022439071224e-17,-0.03270864717406951,0.03270864717406952,0.7321099362715769,0.7321099362715769,-0.901781473841,-0.0189080566167,0.8828734172243563,oscillatory,mixed,False,False
65,147,1,1,65,151,,,0.34567116813283466,0.1146700134991111,0.6682685046643936,1.0552022439071224e-17,-0.03270864717406951,0.03270864717406952,0.7321099362715769,0.7321099362715769,0.901781473841,0.0189080566167,0.8828734172243563,oscillatory,mixed,False,False
68,140,1,1,68,144,,,-0.2553339928721728,-0.08392346072800512,0.6713188879241021,7.122615146373077e-17,-0.07437182236328087,0.07437182236328094,0.7226804886229584,0.7226804886229584,-0.746350578367,-0.0598485783411,0.6865020000260671,oscillatory,mixed,False,False
69,141,1,1,69,145,,,0.2553339928721728,0.08392346072800512,0.6713188879241021,7.122615146373077e-17,-0.07437182236328087,0.07437182236328094,0.7226804886229584,0.7226804886229584,0.746350578367,0.0598485783411,0.6865020000260671,oscillatory,mixed,False,False
30,90,1,1,30,94,,,-0.9335229412543884,-0.7511617356823662,0.19534732089923876,-8.969219073210542e-17,2.110404487814245e-17,1.1079623561024787e-16,0.6908957418991044,0.6908957418991044,-0.995981103152,-0.992337475691,0.0036436274609061847,oscillatory,oscillatory,False,False
31,91,1,1,31,95,,,0.9335229412543884,0.7511617356823662,0.19534732089923876,-8.969219073210542e-17,2.110404487814245e-17,1.1079623561024787e-16,0.6908957418991044,0.6908957418991044,0.995981103152,0.992337475691,0.0036436274609061847,oscillatory,oscillatory,False,False
26,86,1,1,26,90,,,-0.9915806748289966,-0.8209534074951865,0.17207603139627106,-7.386415707349858e-17,-8.44161795125698e-17,1.0552022439071218e-17,0.6880661110944422,0.6880661110944422,-0.994451022709,-0.993489428969,0.000961593740736566,oscillatory,oscillatory,False,False
27,87,1,1,27,91,,,0.9915806748289966,0.8209534074951865,0.17207603139627106,-7.386415707349858e-17,-8.44161795125698e-17,1.0552022439071218e-17,0.6880661110944422,0.6880661110944422,0.994451022709,0.993489428969,0.000961593740736566,oscillatory,oscillatory,False,False
28,88,1,1,28,92,,,-0.9851308561921795,-0.7872497856966683,0.20086780274082552,-4.22080897562849e-17,0.0,4.22080897562849e-17,0.6268995825339629,0.6268995825339629,-0.993331446937,-0.987959827332,0.005371619604511713,oscillatory,oscillatory,False,False
29,89,1,1,29,93,,,0.9851308561921795,0.7872497856966683,0.20086780274082552,-4.22080897562849e-17,0.0,4.22080897562849e-17,0.6268995825339629,0.6268995825339629,0.993331446937,0.987959827332,0.005371619604511713,oscillatory,oscillatory,False,False
104,154,1,1,104,158,,,-0.09976605498101923,-0.1390107955464301,0.2823143368912163,-7.386415707349858e-17,2.3742050487910256e-16,3.1128466195260114e-16,0.6212501538307423,0.6212501538307423,0.0762758735537,0.318541112291,0.24226523873678912,oscillatory,oscillatory,False,False
105,155,1,1,105,159,,,0.09976605498101923,0.1390107955464301,0.2823143368912163,-7.386415707349858e-17,2.3742050487910256e-16,3.1128466195260114e-16,0.6212501538307423,0.6212501538307423,-0.0762758735537,-0.318541112291,0.24226523873678912,oscillatory,oscillatory,False,False
