group_id,dimension,members,classification,branch_sign,omega_rad_s,omega_hat,sigma_s^-1,sigma_hat,fourier_m,circularity_eigs
79,1,79,mixed,1,5.762861556764745e+18,0.014846153432676396,2.458025156704577e+19,0.06332308742516665,,-0.0109740911262
80,1,80,mixed,-1,-6.277302276235683e+18,-0.01617144396378706,-2.640991750212984e+19,-0.06803663137121434,,-0.0199897416752
81,1,81,mixed,1,6.277302276235683e+18,0.01617144396378706,-2.640991750212984e+19,-0.06803663137121434,,0.0199897416752
82,1,82,mixed,-1,-5.762861556764724e+18,-0.014846153432676343,-2.4580251567045698e+19,-0.06332308742516647,,0.0109740911262
83,1,83,mixed,1,5.762861556764724e+18,0.014846153432676343,-2.4580251567045698e+19,-0.06332308742516647,,-0.0109740911262
84,1,84,oscillatory,-1,-2.6037983725865173e+19,-0.0670784639998781,18944.0,4.8803103780704415e-17,,-0.914618937749
85,1,85,oscillatory,1,2.6037983725865173e+19,0.0670784639998781,18944.0,4.8803103780704415e-17,,0.914618937749
86,1,86,mixed,-1,-5.561203248471036e+18,-0.014326645865747598,-9.865686089125278e+18,-0.025415757077461614,,0.0637803583375
87,1,87,mixed,1,5.561203248471036e+18,0.014326645865747598,-9.865686089125278e+18,-0.025415757077461614,,-0.0637803583375
88,1,88,mixed,-1,-5.561203248471062e+18,-0.014326645865747663,9.865686089125261e+18,0.025415757077461573,,0.0637803583375
89,1,89,mixed,1,5.561203248471062e+18,0.014326645865747663,9.865686089125261e+18,0.025415757077461573,,-0.0637803583375
90,1,90,oscillatory,-1,-2.4264519464833774e+19,-0.06250970553374181,1024.0,2.638005609767806e-18,,0.327733244296
91,1,91,oscillatory,1,2.4264519464833774e+19,0.06250970553374181,1024.0,2.638005609767806e-18,,-0.327733244296
92,1,92,oscillatory,-1,-2.0142834667335213e+19,-0.051891514501030994,54272.0,1.3981429731769374e-16,,-0.563666107053
93,1,93,oscillatory,1,2.0142834667335213e+19,0.051891514501030994,54272.0,1.3981429731769374e-16,,0.563666107053
94,1,94,oscillatory,-1,-4.0304593740585764e+18,-0.010383178162800552,7296.0,1.879578996959562e-17,,-0.752927897076
95,1,95,oscillatory,1,4.0304593740585764e+18,0.010383178162800552,7296.0,1.879578996959562e-17,,0.752927897076
