pair_id,carrier_id,family,candidate_null,candidate_active,beta_parameter,beta_total_thread_over_core,thread_coupling_mode,gamma_core,n_threads,helix_turns
PAIR_EA56E2399DD4,TWIST_4_1,twist,CAND_D2D26D9743766EE3,CAND_68FD32C82758A72E,0.75,0.75,total_beta,1.0,3,1.0
PAIR_7AAE318A6F53,TWIST_4_1,twist,CAND_D2D26D9743766EE3,CAND_DCD13621E94E5AA1,1.0,1.0,total_beta,1.0,3,1.0
PAIR_CD1A72C6962C,TWIST_4_1,twist,CAND_D2D26D9743766EE3,CAND_2943CB07C5B8E4B6,1.5,1.5,total_beta,1.0,3,1.0
PAIR_54C1958C5A33,TWIST_4_1,twist,CAND_D2D26D9743766EE3,CAND_64D24304DE1DDDCB,2.0,2.0,total_beta,1.0,3,1.0
PAIR_A91761A35653,TWIST_5_2,twist,CAND_08CBA92484EB6E63,CAND_1934B2C5B907AADB,-2.0,-2.0,total_beta,1.0,3,1.0
PAIR_5E9802DE2B42,TWIST_5_2,twist,CAND_08CBA92484EB6E63,CAND_8E0D7F4D3AF73ADA,-1.5,-1.5,total_beta,1.0,3,1.0
PAIR_EB6CDF21B788,TWIST_5_2,twist,CAND_08CBA92484EB6E63,CAND_EC579A968BA381AD,-1.0,-1.0,total_beta,1.0,3,1.0
PAIR_DAD44768C6C0,TWIST_5_2,twist,CAND_08CBA92484EB6E63,CAND_128A5110138E721B,-0.75,-0.75,total_beta,1.0,3,1.0
PAIR_16F9859A3F42,TWIST_5_2,twist,CAND_08CBA92484EB6E63,CAND_54E94E77A5234970,-0.5,-0.5,total_beta,1.0,3,1.0
PAIR_1AA38A183978,TWIST_5_2,twist,CAND_08CBA92484EB6E63,CAND_E07D1F38C0878DCB,-0.25,-0.25,total_beta,1.0,3,1.0
PAIR_1F8153B9FAAF,TWIST_5_2,twist,CAND_08CBA92484EB6E63,CAND_2DF54B07976098AD,0.25,0.25,total_beta,1.0,3,1.0
PAIR_1F5B126D1C3C,TWIST_5_2,twist,CAND_08CBA92484EB6E63,CAND_E3E89318892972E0,0.5,0.5,total_beta,1.0,3,1.0
PAIR_46733B805F1B,TWIST_5_2,twist,CAND_08CBA92484EB6E63,CAND_F3A1DCD594E756DD,0.75,0.75,total_beta,1.0,3,1.0
PAIR_5F63D5BC0BCB,TWIST_5_2,twist,CAND_08CBA92484EB6E63,CAND_71CFB5D86565FC7B,1.0,1.0,total_beta,1.0,3,1.0
PAIR_BEF6CECC0E74,TWIST_5_2,twist,CAND_08CBA92484EB6E63,CAND_C38FFED5EF14AA97,1.5,1.5,total_beta,1.0,3,1.0
PAIR_783FC2B5E346,TWIST_5_2,twist,CAND_08CBA92484EB6E63,CAND_E9BA4F817037ECA9,2.0,2.0,total_beta,1.0,3,1.0
PAIR_87500361494F,TWIST_7_2,twist,CAND_8D0B4E15F88FE05A,CAND_152D302D4B6E92D2,-2.0,-2.0,total_beta,1.0,3,1.0
PAIR_5665DC69352E,TWIST_7_2,twist,CAND_8D0B4E15F88FE05A,CAND_4C54D51941AF5BC6,-1.5,-1.5,total_beta,1.0,3,1.0
PAIR_709CE1E25A00,TWIST_7_2,twist,CAND_8D0B4E15F88FE05A,CAND_FE26659EC590C4CB,-1.0,-1.0,total_beta,1.0,3,1.0
PAIR_91CB9E117F12,TWIST_7_2,twist,CAND_8D0B4E15F88FE05A,CAND_B2526CA8101966D8,-0.75,-0.75,total_beta,1.0,3,1.0
PAIR_957AE082D8C6,TWIST_7_2,twist,CAND_8D0B4E15F88FE05A,CAND_7D2DC901A68D6D70,-0.5,-0.5,total_beta,1.0,3,1.0
PAIR_9B3AAD96C2BD,TWIST_7_2,twist,CAND_8D0B4E15F88FE05A,CAND_A4DEBBCD78EB40A7,-0.25,-0.25,total_beta,1.0,3,1.0
PAIR_01015F67881F,TWIST_7_2,twist,CAND_8D0B4E15F88FE05A,CAND_31FD5E1CC9551722,0.25,0.25,total_beta,1.0,3,1.0
PAIR_F6F87B566840,TWIST_7_2,twist,CAND_8D0B4E15F88FE05A,CAND_ECC398CD48CC5F1D,0.5,0.5,total_beta,1.0,3,1.0
PAIR_C76432284E19,TWIST_7_2,twist,CAND_8D0B4E15F88FE05A,CAND_E90D6393096D36CC,0.75,0.75,total_beta,1.0,3,1.0
