low_group,high_group,low_dimension,high_dimension,low_members,high_members,low_omega_hat,high_omega_hat,frequency_rel_error,overlap,minimum_overlap,fingerprint_similarity,low_dominant_m,high_dominant_m,low_ppw,high_ppw,low_wavelength_status,high_wavelength_status,low_circularity_eigs,high_circularity_eigs,circularity_error,low_condition_number_max,high_condition_number_max,low_class,high_class,low_core_status,high_core_status,equilibrium_ready,score,numerically_trackable,physical_interpretation_allowed
82,90,2,2,162;164,180;182,-0.0775275439241768,-0.09841259301639456,0.21221927450624656,0.9997038006580325,0.9997038006580325,0.9997562224535668,10,10,9.6,12.8,DIAGNOSTIC,RESOLVED,0.995724638482;0.995724638482,0.997542526868;0.997542526868,0.0018178883859587547,4.220009016640599,7.442536462188669,oscillatory,oscillatory,DIAGNOSTIC,DIAGNOSTIC,True,0.9679284448322742,False,False
83,91,2,2,163;165,181;183,0.0775275439241768,0.09841259301639456,0.21221927450624656,0.9997038006580325,0.9997038006580325,0.9997562224535668,10,10,9.6,12.8,DIAGNOSTIC,RESOLVED,-0.995724638482;-0.995724638482,-0.997542526868;-0.997542526868,0.0018178883859587547,4.220009016640599,7.442536462188669,oscillatory,oscillatory,DIAGNOSTIC,DIAGNOSTIC,True,0.9679284448322742,False,False
68,92,2,2,134;136,184;186,-0.06864246852262455,-0.09534751963214723,0.28008123559533943,0.9995264657535868,0.9995264657535868,0.9994844294874135,11,11,8.727272727272727,11.636363636363637,DIAGNOSTIC,DIAGNOSTIC,0.994421603936;0.994421603936,0.99731934289;0.99731934289,0.0028977389534552422,13.474360485071534,2.4646107125831187,oscillatory,oscillatory,DIAGNOSTIC,DIAGNOSTIC,True,0.9575748014847045,False,False
69,93,2,2,135;137,185;187,0.06864246852262455,0.09534751963214723,0.28008123559533943,0.9995264657535868,0.9995264657535868,0.9994844294874135,11,11,8.727272727272727,11.636363636363637,DIAGNOSTIC,DIAGNOSTIC,-0.994421603936;-0.994421603936,-0.99731934289;-0.99731934289,0.0028977389534552422,13.474360485071534,2.4646107125831187,oscillatory,oscillatory,DIAGNOSTIC,DIAGNOSTIC,True,0.9575748014847045,False,False
32,64,2,2,62;64,128;130,-0.8234238404362426,-0.6296959639548736,0.23527115316303415,0.9682793830211698,0.9368618102024006,0.9999962270768268,32,32,3.0,4.0,UNDERRESOLVED,UNDERRESOLVED,-0.999961846992;-0.999961846992,-0.999931915227;-0.999931915227,2.9931765118895726e-05,1.4812933630899658,2.3716100333173444,oscillatory,oscillatory,DIAGNOSTIC,DIAGNOSTIC,True,0.9456760136074533,False,False
33,65,2,2,63;65,129;131,0.8234238404362426,0.6296959639548736,0.23527115316303415,0.9682793830211698,0.9368618102024006,0.9999962270768268,32,32,3.0,4.0,UNDERRESOLVED,UNDERRESOLVED,0.999961846992;0.999961846992,0.999931915227;0.999931915227,2.9931765118895726e-05,1.4812933630899658,2.3716100333173444,oscillatory,oscillatory,DIAGNOSTIC,DIAGNOSTIC,True,0.9456760136074533,False,False
38,68,2,2,74;76,138;140,-0.6656428317800502,-0.48037840064704773,0.27832408355930405,0.9754583291587618,0.9754583291587609,0.9999915785744367,29,29,3.310344827586207,4.413793103448276,UNDERRESOLVED,UNDERRESOLVED,-0.999939649486;-0.999939649486,-0.999881748374;-0.999881748374,5.7901112818781186e-05,1.014009301655483,1.2831917926877348,oscillatory,oscillatory,DIAGNOSTIC,DIAGNOSTIC,True,0.9435242796049708,False,False
39,69,2,2,75;77,139;141,0.6656428317800502,0.48037840064704773,0.27832408355930405,0.9754583291587618,0.9754583291587609,0.9999915785744367,29,29,3.310344827586207,4.413793103448276,UNDERRESOLVED,UNDERRESOLVED,0.999939649486;0.999939649486,0.999881748374;0.999881748374,5.7901112818781186e-05,1.014009301655483,1.2831917926877348,oscillatory,oscillatory,DIAGNOSTIC,DIAGNOSTIC,True,0.9435242796049708,False,False
40,70,2,2,78;80,142;144,-0.6113862085887721,-0.4316171888835549,0.29403512408329885,0.9793457976034157,0.9793457976034151,0.9999886035241344,28,28,3.4285714285714284,4.571428571428571,UNDERRESOLVED,UNDERRESOLVED,-0.999927699156;-0.999927699156,-0.999853117569;-0.999853117569,7.458158710305085e-05,1.0031539536853211,1.633303787174334,oscillatory,oscillatory,DIAGNOSTIC,DIAGNOSTIC,True,0.9434993608305882,False,False
41,71,2,2,79;81,143;145,0.6113862085887721,0.4316171888835549,0.29403512408329885,0.9793457976034157,0.9793457976034151,0.9999886035241344,28,28,3.4285714285714284,4.571428571428571,UNDERRESOLVED,UNDERRESOLVED,0.999927699156;0.999927699156,0.999853117569;0.999853117569,7.458158710305085e-05,1.0031539536853211,1.633303787174334,oscillatory,oscillatory,DIAGNOSTIC,DIAGNOSTIC,True,0.9434993608305882,False,False
