pair_id,candidate_a,candidate_b,geometry_a,geometry_b
P00085,e296c90335bcd569,97355e9dba0be2a1,geometry/e296c90335bcd569.npz,geometry/97355e9dba0be2a1.npz
P00086,4ccdcd03a565ec05,1db584364d1e1e64,geometry/4ccdcd03a565ec05.npz,geometry/1db584364d1e1e64.npz
P00087,be77d1db723d9ad3,d8681b23200549fb,geometry/be77d1db723d9ad3.npz,geometry/d8681b23200549fb.npz
P00088,3ebccb2b51005990,bd51ea375a7d3383,geometry/3ebccb2b51005990.npz,geometry/bd51ea375a7d3383.npz
P00089,e89f66b44fe91c0f,86a94d8d24981770,geometry/e89f66b44fe91c0f.npz,geometry/86a94d8d24981770.npz
P00090,211355aeebb870fa,9ba44332e3f1f759,geometry/211355aeebb870fa.npz,geometry/9ba44332e3f1f759.npz
P00091,b4714a37dc24d59e,e2cbc10cf90598a2,geometry/b4714a37dc24d59e.npz,geometry/e2cbc10cf90598a2.npz
P00092,bcd12b907d2d8d85,643eb25da427b5f4,geometry/bcd12b907d2d8d85.npz,geometry/643eb25da427b5f4.npz
P00093,818d9cba3d111191,4538f0871b13aff9,geometry/818d9cba3d111191.npz,geometry/4538f0871b13aff9.npz
P00094,de65f39fdb60bab9,875f713db89b722c,geometry/de65f39fdb60bab9.npz,geometry/875f713db89b722c.npz
P00095,2a4692e74974e6b4,f5c55a6d5de96006,geometry/2a4692e74974e6b4.npz,geometry/f5c55a6d5de96006.npz
