pair_id,candidate_a,geometry_a,candidate_b,geometry_b
PAIR_F1561409F67A,CAND_528A38917B809D89,geometry/CAND_528A38917B809D89.npz,CAND_74D4DDE7D9A4A33F,geometry/CAND_74D4DDE7D9A4A33F.npz
PAIR_EE36540D4256,CAND_370DD0D9EE7E6EDC,geometry/CAND_370DD0D9EE7E6EDC.npz,CAND_38D3A9DEB72F9561,geometry/CAND_38D3A9DEB72F9561.npz
PAIR_114090DC081C,CAND_2D6B93F0172C5828,geometry/CAND_2D6B93F0172C5828.npz,CAND_D6C98366A6145802,geometry/CAND_D6C98366A6145802.npz
PAIR_68DD808479AB,CAND_CF47F127AA64D9CF,geometry/CAND_CF47F127AA64D9CF.npz,CAND_0A3C6F56C7DBA0A9,geometry/CAND_0A3C6F56C7DBA0A9.npz
PAIR_DD14F4A71A76,CAND_7FE106FCD2B80697,geometry/CAND_7FE106FCD2B80697.npz,CAND_D6C98366A6145802,geometry/CAND_D6C98366A6145802.npz
PAIR_3017070AD31E,CAND_42FBD6BFB95A0F6A,geometry/CAND_42FBD6BFB95A0F6A.npz,CAND_D7082D728CA13D1C,geometry/CAND_D7082D728CA13D1C.npz
PAIR_501A7840048B,CAND_370DD0D9EE7E6EDC,geometry/CAND_370DD0D9EE7E6EDC.npz,CAND_750D92A84E9C73C5,geometry/CAND_750D92A84E9C73C5.npz
PAIR_44A235BF33BA,CAND_A840D0D0AC80CA6B,geometry/CAND_A840D0D0AC80CA6B.npz,CAND_1A6A9B0803B2AB7B,geometry/CAND_1A6A9B0803B2AB7B.npz
PAIR_8E3AD0376BE5,CAND_20682ADD786F1EE6,geometry/CAND_20682ADD786F1EE6.npz,CAND_D6C98366A6145802,geometry/CAND_D6C98366A6145802.npz
PAIR_F6F670E25D31,CAND_A1D099A0F081670D,geometry/CAND_A1D099A0F081670D.npz,CAND_42FBD6BFB95A0F6A,geometry/CAND_42FBD6BFB95A0F6A.npz
PAIR_7012C9C3546E,CAND_528A38917B809D89,geometry/CAND_528A38917B809D89.npz,CAND_334878AECC22408B,geometry/CAND_334878AECC22408B.npz
PAIR_A3FF9586F9AD,CAND_C579B5FBEA43C9F3,geometry/CAND_C579B5FBEA43C9F3.npz,CAND_3CD6241DB278400B,geometry/CAND_3CD6241DB278400B.npz
PAIR_B75AFAD3FC17,CAND_5B160B57CA97F820,geometry/CAND_5B160B57CA97F820.npz,CAND_C579B5FBEA43C9F3,geometry/CAND_C579B5FBEA43C9F3.npz
PAIR_5AF5BA0F0350,CAND_42FBD6BFB95A0F6A,geometry/CAND_42FBD6BFB95A0F6A.npz,CAND_6B84C902801CC986,geometry/CAND_6B84C902801CC986.npz
PAIR_7EFADAD2F08D,CAND_00144E09C6DF6C8F,geometry/CAND_00144E09C6DF6C8F.npz,CAND_42FBD6BFB95A0F6A,geometry/CAND_42FBD6BFB95A0F6A.npz
PAIR_7A5D966B041B,CAND_DADDC9F39374ADC6,geometry/CAND_DADDC9F39374ADC6.npz,CAND_7D0042E0A78033C7,geometry/CAND_7D0042E0A78033C7.npz
