cluster_id,dimension,members,classification,omega_hat,sigma_hat,dominant_m,circularity_eigs,condition_number_median,condition_number_max,strict_true_degeneracy,core_eta_a_max,core_status,equilibrium_status
69,2,135;137,oscillatory,0.055239244959538136,-6.028255006695963e-18,12,-0.99124932577;-0.99124932577,1.555575951422628,1.7541946445832646,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
70,2,138;140,oscillatory,-0.07752754392417678,-4.682459957337856e-17,10,0.995724638482;0.995724638482,1.6710298870765805,2.248970899027874,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
71,2,139;141,oscillatory,0.07752754392417678,-4.682459957337856e-17,10,-0.995724638482;-0.995724638482,1.6710298870765805,2.248970899027874,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
72,2,142;144,oscillatory,-0.0819744937291099,-1.6817285762269766e-17,9,0.996281997248;0.996281997248,1.50774294782677,1.8628075929963817,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
73,2,143;145,oscillatory,0.0819744937291099,-1.6817285762269766e-17,9,-0.996281997248;-0.996281997248,1.50774294782677,1.8628075929963817,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
74,2,146;148,oscillatory,-0.06001265008122211,-1.1871025243955128e-17,5,0.994185458007;0.994185458007,2.401925521822169,2.6960426860298004,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
75,2,147;149,oscillatory,0.06001265008122211,-1.1871025243955128e-17,5,-0.994185458007;-0.994185458007,2.401925521822169,2.6960426860298004,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
76,2,150;152,oscillatory,-0.03211805514308626,1.253052664639708e-17,3,0.98272290697;0.98272290697,1.19047198595607,1.2251951726761066,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
77,2,151;153,oscillatory,0.03211805514308626,1.253052664639708e-17,3,-0.98272290697;-0.98272290697,1.19047198595607,1.2251951726761066,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
78,2,154;156,oscillatory,-0.040109097816423814,3.858083204285417e-17,16,-0.982796986372;-0.982796986372,1.0220735533509688,1.0250908364732167,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
79,2,155;157,oscillatory,0.040109097816423814,3.858083204285417e-17,16,0.982796986372;0.982796986372,1.0220735533509688,1.0250908364732167,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
80,2,158;160,oscillatory,-0.046844279992517494,3.759157993919124e-17,4,0.99109337947;0.99109337947,5.8175783375238,10.549424782273283,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
81,2,159;161,oscillatory,0.046844279992517494,3.759157993919124e-17,4,-0.99109337947;-0.99109337947,5.8175783375238,10.549424782273283,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
