axial_ratio,candidate_a,candidate_b,carrier_id,condition_a,condition_b,control_offset,core_fraction,family,m,n,pair_id,profile,winner_condition,closed_growth,control_growth,closed_over_control_growth,log_growth_ratio,neutral_pair,both_valid,closed_loop_phase,closed_tau_error,closed_hybridization,closed_mode_valid,control_mode_valid,closed_delay_valid,lambda_real,lambda_imag,omega_mode,T_mode,group_velocity,tau_loop_group,tau_return_measured,phi_loop,omega_swirl_rms_core,mode_over_swirl_frequency_ratio
-1.0,c170ee148d2af0f5,a585ae924207674f,TORUS_T2_7,CLOSED,SYMMETRIC_CONTROL,-0.37,0.05,torus,2,2,P00037,smooth_rankine,SYMMETRIC_CONTROL,0.025998612977774973,0.02309965107907235,1.1254980273857351,0.11822562870717006,False,True,2.7520162532187498,0.0036249999999999893,0.24647570841083072,True,True,True,0.025998612977774973,-2.744278354855962,2.744278354855962,2.2895583081291946,-1.007589318072309,340.0142408473296,341.24679247040115,2.7520162532187498,1.299188297090765,2.112302243640237
-1.0,915a10083fcc40a8,a1c2bf08815a6444,TORUS_T2_7,SYMMETRIC_CONTROL,CLOSED,-0.37,0.05,torus,2,3,P00038,smooth_rankine,SYMMETRIC_CONTROL,0.03876532045331283,0.036102793381893136,1.0737484854917125,0.07115578383031591,False,True,-1.6942790269314811,0.0036249999999999893,0.21552584081888634,True,True,True,0.03876532045331283,-2.598590483337401,2.598590483337401,2.4179205409503446,-0.9668988183227366,354.32323483912,355.60765656541184,-1.6942790269314811,1.299188297090765,2.000164632914528
-0.5,a53c0054e8e6ad1a,caed66018394d4ea,TORUS_T2_7,CLOSED,SYMMETRIC_CONTROL,0.37,0.05,torus,2,1,P00039,smooth_rankine,CLOSED,0.0080424827899044,0.008525519249706289,0.9433423491194368,-0.05832601968820709,False,True,0.10406404502845132,0.40274999999999994,0.29189206598233003,True,True,True,0.0080424827899044,-2.783421141596297,2.783421141596297,2.2573606319509985,-0.5643030196082698,607.1112596704843,851.6253195027717,0.10406404502845132,1.299188297090765,2.1424308915259873
-0.5,c1516415b10ea889,c8530d206805d12b,TORUS_T2_7,SYMMETRIC_CONTROL,CLOSED,-0.37,0.05,torus,2,2,P00040,smooth_rankine,TIE,0.014321494302349542,0.01415616067801144,1.0116792618638677,0.01161158571366185,False,True,1.598586438817212,0.0036249999999999893,0.38737585714082823,True,True,True,0.014321494302349542,-2.744574978881,2.744574978881,2.2893108607079578,-0.48187522913751163,710.9614612965905,713.5386965937906,1.598586438817212,1.299188297090765,2.1125305585240013
-0.5,e17ca9b7ba5c2643,8f87437338ed457b,TORUS_T2_7,SYMMETRIC_CONTROL,CLOSED,0.37,0.05,torus,2,3,P00041,smooth_rankine,TIE,0.018292175264158245,0.01821431559404414,1.0042746391960604,0.004265528878917434,False,True,-1.4020755339645525,0.0036249999999999893,0.45124913652005677,True,True,True,0.018292175264158245,-2.701149883334225,2.701149883334225,2.32611501714366,-0.4842742565726336,707.439456920318,710.0039249516541,-1.4020755339645525,1.299188297090765,2.079105768873405
0.5,22feeb864b20fc51,ca9ef3573b7dbd7b,TORUS_T2_7,SYMMETRIC_CONTROL,CLOSED,-0.37,0.05,torus,2,1,P00042,smooth_rankine,TIE,2.5657901942296156e-16,3.0269338189706097e-16,1.0,0.0,True,True,-3.090750245644517,0.10875000000000001,0.6157374917067238,True,True,True,2.5657901942296156e-16,-2.7939336013218385,2.7939336013218385,2.2488670826704498,0.31912415803476085,1073.5467950154912,956.7985810575565,-3.090750245644517,1.299188297090765,2.1505224512707
0.5,63391807bb25e597,180d55aa1b582fb8,TORUS_T2_7,SYMMETRIC_CONTROL,CLOSED,0.37,0.05,torus,2,2,P00043,smooth_rankine,TIE,1.6841157454172173e-16,1.576708121370659e-16,1.0,0.0,True,True,2.9243987231983786,0.019625000000000004,0.5926639627783508,True,True,True,1.6841157454172173e-16,-2.8470039725186242,2.8470039725186242,2.206946448908927,0.1235983745413129,2771.8383703802024,2717.441042361491,2.9243987231983786,1.299188297090765,2.1913713192258877
0.5,22279c32bdbbc0d8,93c2a71022a6fe22,TORUS_T2_7,CLOSED,SYMMETRIC_CONTROL,0.37,0.05,torus,2,3,P00044,smooth_rankine,INDETERMINATE,1.139581575042377e-16,3.8690592635360525e-16,nan,nan,False,False,nan,nan,0.688893810390167,False,False,False,1.139581575042377e-16,-2.1375295496088067,2.1375295496088067,2.9394612618709686,0.13158299490760655,nan,nan,nan,1.299188297090765,1.6452807913951464
1.0,69a239de5420ce1e,7a6eb634d4d74e6d,TORUS_T2_7,CLOSED,SYMMETRIC_CONTROL,-0.37,0.05,torus,2,1,P00045,smooth_rankine,SYMMETRIC_CONTROL,3.8042992129660695e-16,1.4593790073767326e-15,nan,nan,False,False,nan,nan,0.44048331942304025,False,True,False,3.8042992129660695e-16,-2.1360597902868883,2.1360597902868883,2.941483817892433,0.28155287829113357,nan,nan,nan,1.299188297090765,1.6441495009384748
1.0,f159798033be1e9d,98f3ac9870d2c8ae,TORUS_T2_7,SYMMETRIC_CONTROL,CLOSED,-0.37,0.05,torus,2,2,P00046,smooth_rankine,TIE,1.1237723879376112e-15,3.9454562979633684e-16,1.0,0.0,True,True,-1.40439186511634,0.05449999999999999,0.48798191645868777,True,True,True,1.1237723879376112e-15,-2.8808438405705554,2.8808438405705554,2.181022524961017,0.3245967525600619,1055.4471490186659,997.9252793971485,-1.40439186511634,1.299188297090765,2.217418250319485
